fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,April,15,KARNATAKA,1519,KOLAR,265240,334.837283252438,13,111,690.104837319,572,0,31829,291941,74995,84082,17151,21629,5.6717,1673.303850419,21861,31962,124909,314110,0,238534,576962,32401,977.5273131,156208,61,31.23,37.44,99.99,NA
2024-2025,April,15,KARNATAKA,1522,MYSURU,133961,340.086281520074,14,27,608.677228762999,5488,2,37318,163150,25985,68475,18736,40438,94.30353,1257.831527063,10933,18615,138000,353804,0,344342,842609,42806,554.8507683,87083,80,23.25,28.15,99.99,NA
2024-2025,April,15,KARNATAKA,1524,SHIVAMOGGA,299328,302.912100174138,10,127,380.504690514,1231,0,19432,234871,50223,81503,11971,18273,57.95942,1149.916789314,21382,33276,142153,364346,0,247145,566579,20663,711.4526788,127698,77,33.05,44.37,99.97,NA
2024-2025,May,15,KARNATAKA,1514,GADAG,1139296,305.007430284649,16,612,614.689655517001,4668,1,16100,863870,125747,55476,76915,25646,85.14004,3334.697383517,53400,110000,120259,307147,0,164327,393162,20768,2634.867688,417351,63,13.81,80.52,99.84,NA
2024-2025,May,15,KARNATAKA,1517,HAVERI,789930,313.957474889418,15,169,1180.320628616,8054,0,32717,438361,59828,52800,59177,42728,0,2556.587755116,28374,49637,149791,365760,0,270876,617000,40771,1376.2671265,214992,67,33.97,42.92,100.02,NA
2024-2025,May,15,KARNATAKA,1522,MYSURU,317805,341.241823783679,15,29,608.677228762999,5685,2,37275,186464,29673,68525,21783,40474,94.30353,1339.273913063,12258,20808,138105,354079,0,344384,842683,42960,636.2931543,99685,80,24.54,27.5,99.91,NA
2024-2025,May,15,KARNATAKA,1525,TUMAKURU,608298,345.539313245445,14,100,1928.607109223,5234,0,67826,312062,40834,76380,23524,39217,82.73144,3089.635440923,21200,34678,204811,488437,0,395898,874571,73060,1078.2968917,160470,84,36.87,35.17,99.85,NA
2024-2025,May,15,KARNATAKA,1529,RAMANAGARA,592865,345.337520995557,14,35,1321.154745961,7969,1,36118,153723,22661,50262,2460,5173,12.185,1864.202943361,10953,16608,139511,312151,0,200450,430486,44087,530.8631974,82071,82,21.02,22.48,99.91,NA
2024-2025,May,15,KARNATAKA,1504,BELAGAVI,2874902,315.063374950339,14,1264,1542.464119828,3647,0,76502,1636110,179180,98759,153827,79704,148.86561,6846.11311372799,116449,158087,395120,862770,6,817825,1670492,80149,5154.78338389999,1015116,52,17.19,41.19,99.81,NA
2024-2025,May,15,KARNATAKA,1513,DHARWAR,442274,345.27054204794,13,60,617.303601292,3619,0,35305,186109,15932,19006,14399,14604,75.03389,1334.917044392,13596,22196,81555,214387,0,169286,403813,38924,642.5795531,89350,73,32.09,34.22,99.84,NA
2024-2025,May,15,KARNATAKA,1519,KOLAR,584886,337.1156486788,15,152,690.104837319,1227,0,31340,405162,104334,84140,23502,21652,5.6717,2061.641041819,25868,38070,124995,314361,0,238573,577096,32567,1365.8645045,216878,61,33.73,35.93,99.71,NA
2024-2025,May,15,KARNATAKA,1520,KOPPAL,2178765,285.745906953947,14,1277,720.711013102,7276,1,28571,1034176,179903,94566,150602,78514,34.71448,3710.54108380205,72898,138903,217939,558522,0,322041,835512,35847,2955.11559070005,552593,56,18.32,73.05,99.83,NA
2024-2025,May,15,KARNATAKA,1521,MANDYA,292100,357.594635531527,11,71,499.87003929,2147,1,30817,135581,16372,38447,987,2368,85.47833,1070.17875209,12137,17475,136370,333788,0,347086,753435,32964,484.8303828,79372,70,35.96,31.43,100.07,NA
2024-2025,May,15,KARNATAKA,1528,CHIKKABALLAPURA,446223,342.760883438992,14,323,985.762680461,1246,2,29846,136761,28327,75513,17570,46103,10.5623,1465.088192261,9245,14807,130093,327227,0,222247,535927,31092,468.7632118,72848,77,40.89,23.48,99.82,NA
2024-2025,May,15,KARNATAKA,1506,BIDAR,1010381,361.50554848383,12,136,1652.112787176,2907,0,44659,482202,118662,76218,89524,51178,104.70105,3500.000822076,38438,55535,148100,291554,0,248121,464951,47566,1743.1869849,269158,58,32.41,41.99,99.85,NA
2024-2025,May,15,KARNATAKA,1508,CHAMARAJA NAGARA,419079,351.458803919959,13,145,401.242885475,2187,0,27930,231431,70591,76646,20578,28217,43.53592,1258.163429975,17088,25536,111569,263562,0,222024,510515,30117,813.3846245,132172,75,20.51,45.14,100.12,NA
2024-2025,May,15,KARNATAKA,1512,DAVANAGERE,561779,347.307140730884,14,98,1051.430684746,2639,0,18130,348701,88763,62410,65169,42811,13.407,2275.901157546,23350,37882,115908,272800,0,236962,519463,20769,1211.0634728,186039,77,33.42,40.12,99.77,NA
2024-2025,May,15,KARNATAKA,1516,HASSAN,672675,360.666030252983,15,62,766.460850166999,2548,3,27069,182858,29979,66840,2420,6663,117.92067,1543.888209767,11648,19723,157575,389464,0,279371,645848,29617,659.5066896,94275,73,42.3,23.52,99.73,NA
2024-2025,May,15,KARNATAKA,1524,SHIVAMOGGA,722376,312.315469719439,13,204,380.504690514,1428,0,19501,396492,89477,81827,21162,18334,57.95942,1676.769962714,30395,48458,142542,365407,1,247203,566913,20929,1238.3058522,216272,77,29.3,49.7,99.82,NA
2024-2025,May,15,KARNATAKA,1531,VIJAYANAGARA,2203111,288.252752706309,17,805,1394.980504315,8642,0,20854,1470175,320139,111439,326067,90970,0,5632.80041141498,83497,151791,169292,448027,1,247304,639507,29496,4237.81990709998,768004,52,6.38,69.36,99.84,NA
2024-2025,April,15,KARNATAKA,1501,BAGALKOTE,464583,264.96154282642,9,271,656.472518996,1177,18,20642,120895,22817,56962,8978,25083,63.65741,1040.455186196,13122,20060,148769,326204,0,271351,548270,21819,320.3252572,69270,54,14.13,59.17,100,NA
2024-2025,April,15,KARNATAKA,1504,BELAGAVI,1202199,305.007333702478,6,446,1542.464119828,1626,18,77034,328688,38492,98135,30231,79285,148.86561,2693.852234828,47487,60455,392929,857880,0,817773,1669963,78660,1002.522505,212470,52,19.64,38.49,100,NA
2024-2025,April,15,KARNATAKA,1517,HAVERI,329165,161.898818484102,10,51,1180.320628616,3571,37,36276,123003,17251,52470,15894,42499,0,1379.461032316,11892,20115,149122,363978,0,270860,616729,39847,199.1404037,61082,67,21.27,55.15,100,NA
2024-2025,April,15,KARNATAKA,1525,TUMAKURU,270002,283.604455921661,10,40,1928.607109223,2461,62,71417,80062,9956,76236,6321,39158,82.73144,2238.397948723,7292,12090,204553,487785,0,395846,874433,73878,227.0593995,40861,85,39.68,24.7,100,NA
2024-2025,April,15,KARNATAKA,1503,BENGALURU RURAL,111177,344.680445928222,11,131,262.880332887,266,0,10391,83870,13138,24232,4244,8045,33.26839,585.232212887,7569,11869,56476,132242,0,119293,260040,10657,289.08349,42937,62,44.16,18.75,100,NA
2024-2025,April,15,KARNATAKA,1508,CHAMARAJA NAGARA,165744,302.000003540558,9,65,401.242885475,1046,1,28596,81908,23912,76304,7228,27975,43.53592,692.140968375,8651,13076,111101,262382,0,221907,510199,29642,247.3621629,44743,75,24.33,38.88,100,NA
2024-2025,April,15,KARNATAKA,1524,SHIVAMOGGA,299328,291.442274675722,8,59,380.504690514,764,8,19689,107778,22363,81213,5691,18247,57.95942,752.574765314,12471,19055,141933,363514,0,247055,566028,20453,314.1106548,57562,77,31.96,41.29,100,NA
2024-2025,April,15,KARNATAKA,1528,CHIKKABALLAPURA,217096,297.860226292388,11,183,985.762680461,796,13,30049,60276,12523,75458,7498,46063,10.5623,1175.863210461,5026,7930,130006,327011,0,222235,535913,30845,179.53823,31593,77,39.16,23.62,100,NA
2024-2025,April,15,KARNATAKA,1503,BENGALURU RURAL,111177,324.362828623333,15,173,262.880332887,662,0,10087,152477,23404,24302,8029,8051,33.26839,790.727433087,9996,15901,56543,132403,1,119340,260128,10749,494.5787102,78225,62,40.84,16.51,99.99,NA
2024-2025,April,15,KARNATAKA,1504,BELAGAVI,1202199,300.562329402288,11,935,1542.464119828,2857,3,76648,1008044,114132,98359,94689,79475,148.86561,4721.130257628,90672,120615,394005,860074,0,817760,1669995,79505,3029.8005278,631099,52,16.73,40.23,99.99,NA
2024-2025,April,15,KARNATAKA,1522,MYSURU,133961,339.673006061891,14,26,608.677228762999,5476,2,37318,160346,25537,68469,18618,40431,94.30353,1247.632837063,10806,18387,137988,353782,0,344339,842602,42794,544.6520783,85685,80,23.24,28.08,99.99,NA
2024-2025,April,15,KARNATAKA,1504,BELAGAVI,1202199,297.752343151363,10,842,1542.464119828,2639,4,76709,864464,96667,98299,75152,79418,148.86561,4265.291545528,82597,108959,393767,859531,0,817749,1669914,79348,2573.9618157,543990,52,16.23,39.33,99.97,NA
2024-2025,April,15,KARNATAKA,1508,CHAMARAJA NAGARA,165744,343.011502499199,10,108,401.242885475,1628,0,28177,134243,41709,76472,11144,28045,43.53592,905.247736775,12398,18506,111291,262874,0,221949,510312,29805,460.4689313,75075,75,22.3,42.8,99.96,NA
2024-2025,April,15,KARNATAKA,1518,KODAGU,34665,323.549744146237,15,15,48.97893823,1184,1,4406,32714,3680,6859,1564,3622,20.19617,175.02117153,2139,3411,27151,64989,0,87490,190632,5590,105.8460633,17146,78,41.36,22.48,100,NA
2024-2025,April,15,KARNATAKA,1520,KOPPAL,935740,284.321505842201,12,337,720.711013102,5148,5,30596,271901,54487,94434,31730,78234,34.71448,1528.498510702,22226,40427,216973,557062,0,321894,836257,35744,773.073017600003,147561,56,19.44,59.63,100,NA
2024-2025,April,15,KARNATAKA,1528,CHIKKABALLAPURA,217096,353.952888883223,12,220,985.762680461,938,5,29991,78449,15970,75480,9953,46082,10.5623,1273.997482261,6249,9917,130041,327075,0,222237,535893,30929,277.6725018,41540,77,43,20.37,100,NA
2024-2025,April,15,KARNATAKA,1501,BAGALKOTE,464583,296.989148546723,10,375,656.472518996,1824,3,20180,190122,33012,56987,14381,25114,63.65741,1284.771637996,18406,28439,148847,326373,0,271356,548322,22004,564.641709,108216,54,14.98,56.49,100,NA
2024-2025,April,15,KARNATAKA,1507,VIJAYPURA,275004,355.406649622826,10,202,1004.946085376,1917,3,34139,126732,24211,64746,2341,5674,80.82106,1536.181100576,12485,17722,148801,317859,0,345219,763880,36056,450.4139552,70924,67,42.41,33.25,100,NA
2024-2025,April,15,KARNATAKA,1512,DAVANAGERE,284425,352.607758349421,10,62,1051.430684746,1744,1,18690,145549,34822,62047,25654,42596,13.382,1578.029750946,13693,21814,115412,271537,0,236951,519290,20434,513.217066199999,76379,77,37.98,28.7,100,NA
2024-2025,April,15,KARNATAKA,1514,GADAG,522324,261.184649757659,11,376,614.689655517001,2736,8,17508,364776,55752,55116,31554,25471,85.14004,1652.568613517,30527,60166,119263,304371,0,164265,392479,20244,952.738918,176846,63,18.07,75.51,100,NA
2024-2025,April,15,KARNATAKA,1515,KALABURAGI,756767,323.652059552398,7,88,968.155242886001,2448,15,41764,208623,52056,135522,5086,10557,31.65045,1675.018329086,28151,42961,238234,522702,0,421417,880372,44212,675.2126362,123170,61,10.5,71.05,100,NA
2024-2025,April,15,KARNATAKA,1523,RAICHUR,939106,274.230477261681,13,130,1104.074267363,990,2,43317,392971,64963,121271,94997,149743,108.76812,2290.488636163,29820,54956,273666,638275,0,364456,820400,44307,1077.6462488,210995,55,9.75,74.73,100,NA
2024-2025,April,15,KARNATAKA,1527,UTTARA KANNADA,151973,306.812849896339,10,25,330.792963925,701,3,23562,95021,4471,14048,3322,7700,37.92662,660.256222025,8669,13500,83805,210147,0,203438,449488,24263,291.5366381,52426,76,27.36,29.41,100,NA
2024-2025,April,15,KARNATAKA,1503,BENGALURU RURAL,111177,342.223135077547,12,138,262.880332887,558,0,10099,97618,15866,24243,5188,8049,33.26839,630.220102887,7870,12351,56478,132252,0,119315,260093,10657,334.07138,50141,62,40.52,18.36,100,NA
2024-2025,April,15,KARNATAKA,1505,BALLARI,1195298,217.453375449773,11,731,144.634478735,358,0,12398,472183,99800,67788,156991,95073,44.72811,1216.140460535,40090,77800,111536,322227,0,168531,476326,12756,1026.7778718,256472,41,19.85,48.1,100,NA
2024-2025,April,15,KARNATAKA,1514,GADAG,522324,275.145460987749,12,410,614.689655517001,2967,7,17302,426161,62941,55147,35440,25487,85.14004,1872.392343517,34150,68043,119402,304756,0,164267,392540,20269,1172.562648,206120,63,16.34,77.96,100,NA
2024-2025,April,15,KARNATAKA,1516,HASSAN,282284,357.246414282837,13,34,766.460850166999,1693,5,27866,99280,16063,66806,1387,6660,117.92067,1239.055760267,7396,12489,157512,389298,0,279311,645705,29559,354.6742401,51059,73,47.39,17.86,100,NA
2024-2025,April,15,KARNATAKA,1517,HAVERI,329165,300.003683728263,12,96,1180.320628616,5971,1,34355,249918,29675,52607,30947,42570,0,1930.083834916,19536,33890,149360,364652,0,270864,616852,40326,749.7632063,121484,67,35.87,43.39,100,NA
2024-2025,April,15,KARNATAKA,1519,KOLAR,265240,333.65683058799,11,99,690.104837319,478,0,31800,191840,49607,84001,11677,21617,5.6717,1335.863801119,17231,25043,124823,313909,0,238529,576933,32278,640.0872638,102404,61,34.44,33.91,100,NA
2024-2025,April,15,KARNATAKA,1520,KOPPAL,935740,305.853026666454,11,255,720.711013102,4911,7,30773,187239,37503,94362,21268,78178,34.71448,1328.101641702,16535,29676,216831,556520,0,321865,835960,35684,572.676148600001,102139,56,19.73,56.75,100,NA
2024-2025,July,15,KARNATAKA,1502,BENGALURU,31995,307.206175620498,26,10,22.009809773,588,4,2034,21797,4600,2668,341,271,21.60784,110.579379873,823,1377,5835,13376,3,62637,140438,2622,66.9617301,12486,85,51.02,20.89,99.95,NA
2024-2025,July,15,KARNATAKA,1506,BIDAR,2610102,343.685877292348,34,419,2756.74482354501,14533,0,45475,3426127,808410,78906,621617,53046,315.90749,14847.766950645,100456,155068,153397,302830,103,253479,475444,60008,11775.1146371,1866610,61,38.95,34.08,99.68,NA
2024-2025,July,15,KARNATAKA,1508,CHAMARAJA NAGARA,1115249,345.921341944673,26,317,954.270848593,8235,0,24557,1158550,365284,79118,105657,29061,131.16481,5093.10736569301,44097,67962,114707,271258,39,223262,513344,32792,4007.67170710001,675404,74,21.07,51.82,100.24,NA
2024-2025,July,15,KARNATAKA,1509,CHIKKAMAGALURU,976580,341.887749105086,33,113,1887.172654795,8880,0,19864,1216876,175684,41566,39155,8256,326.93409,6374.456710595,36411,64204,90124,221567,95,177549,397922,28744,4160.3499658,670392,71,39.86,24.71,99.88,NA
2024-2025,July,15,KARNATAKA,1516,HASSAN,1922434,340.774202540523,28,341,1668.242860061,11547,2,28617,1668160,237505,68369,26800,6821,394.25215,7747.153947161,58569,105946,160857,397375,76,280601,648642,40164,5684.6589371,855469,76,51.77,23.53,99.96,NA
2024-2025,July,15,KARNATAKA,1517,HAVERI,2112164,334.757722897337,34,404,1478.782977546,14958,0,29309,2413084,349946,54656,334158,43988,202.96561,9759.73363754598,69713,128200,153425,375526,211,272350,621765,44267,8077.98504999998,1191911,67,32.59,45.26,100.09,NA
2024-2025,July,15,KARNATAKA,1523,RAICHUR,6835843,269.790912871318,35,986,2039.07331292,13553,0,34665,7876970,1388668,123845,1886847,152875,447.46327,23737.8858525199,219388,430906,280275,652416,220,370401,832027,48218,21251.3492695999,4137830,54,19.2,66.94,99.87,NA
2024-2025,July,15,KARNATAKA,1502,BENGALURU,31995,313.311767324529,25,9,22.009809773,441,4,2163,20217,4346,2663,306,267,21.60784,106.959889773,808,1352,5817,13320,2,62621,140414,2604,63.34224,11651,85,43.43,24.09,99.85,NA
2024-2025,July,15,KARNATAKA,1503,BENGALURU RURAL,598361,345.488536248992,33,338,576.852321601001,3000,0,9758,679412,97495,24779,39676,8208,180.9426,3105.085495501,20423,33727,57643,135030,53,120084,261767,12758,2347.2905739,350518,64,46.53,16.15,99.9,NA
2024-2025,July,15,KARNATAKA,1505,BALLARI,4853022,279.776411236685,47,2009,800.461429938,2331,0,14672,4741221,937702,69981,1479689,98105,258.18544,14323.4648325381,99349,214506,115605,333666,511,169485,479406,17003,13264.8179626001,2574392,42,36.54,36.83,99.91,NA
2024-2025,July,15,KARNATAKA,1507,VIJAYPURA,1897615,342.7079714161,26,957,1515.178239957,7390,1,38485,1715931,308050,66113,32252,5843,382.70798,7778.518540957,63922,96642,151647,324779,151,347873,769193,45875,5880.632321,940048,70,56.26,29.79,99.9,NA
2024-2025,July,15,KARNATAKA,1514,GADAG,2006215,330.314388401887,28,1063,1133.448280087,10183,0,12749,2399149,370059,56442,203240,26024,224.09806,9282.28068628698,84799,179589,122384,313052,51,164832,395321,22932,7924.73434619998,1186072,64,13.75,77.19,99.89,NA
2024-2025,July,15,KARNATAKA,1516,HASSAN,1922434,341.609259749537,27,331,1668.242860061,11233,2,28367,1590178,227285,68289,25471,6820,335.33441,7435.772564561,57105,103129,160701,396989,68,280550,648528,39600,5432.1952945,815982,76,51.62,23.91,99.95,NA
2024-2025,July,15,KARNATAKA,1518,KODAGU,231130,335.478592785056,30,64,147.144180042,2669,1,3906,209371,19225,7033,9200,3731,75.14455,924.683614542,6953,11516,27981,67021,6,87802,191373,6575,702.3948845,107944,79,51.79,18.4,99.96,NA
2024-2025,July,15,KARNATAKA,1524,SHIVAMOGGA,1502661,323.867519048602,22,372,809.510660801,6071,0,16932,1366242,320447,83287,74481,18519,236.82995,5471.154680401,59460,99373,144577,370927,65,247859,569382,23003,4424.8140696,760331,76,31.6,51.66,99.98,NA
2024-2025,July,15,KARNATAKA,1525,TUMAKURU,1710977,344.105836251289,26,323,3857.203614065,28254,0,50407,1678401,237202,77711,145568,39960,418.27984,10050.959250765,63742,107383,207717,495802,97,397617,878901,78661,5775.4757967,866828,84,39.95,36.99,99.8,NA
2024-2025,July,15,KARNATAKA,1530,Yadgir,1895360,332.752961408884,22,433,390.250747307,16655,0,25441,1654189,312427,64977,194715,35847,0,5894.613632107,73974,112252,152524,302791,23,272542,541043,42096,5504.3628848,909647,79,40.83,54.08,99.86,NA
2024-2025,July,15,KARNATAKA,1502,BENGALURU,31995,311.205374093365,25,9,22.009809773,449,4,2157,20543,4399,2663,306,267,21.60784,107.548569773,810,1355,5819,13324,2,62625,140419,2606,63.93092,11814,85,43.8,23.92,99.94,NA
2024-2025,July,15,KARNATAKA,1504,BELAGAVI,6060735,330.814818311471,29,2075,3117.56774598,22729,0,63022,5701956,652967,101592,565376,81297,709.76399,22690.24711758,195845,282179,403140,882594,469,823861,1684020,85751,18862.9153816,3427050,52,19.29,43.34,100.01,NA
2024-2025,July,15,KARNATAKA,1506,BIDAR,2610102,343.182164582819,33,418,2756.74482354501,14500,0,45238,3380365,800426,78847,613200,53007,315.90749,14673.462091345,99995,154295,153258,302533,99,253360,475213,59738,11600.8097778,1842336,61,40.78,36.41,99.67,NA
2024-2025,July,15,KARNATAKA,1511,DAKSHINA KANNADA,595856,343.540473627439,33,36,326.667790632,6171,0,12738,456118,24013,10353,26770,10378,155.03569,2048.653418132,13592,22712,63938,149129,67,169739,356892,18909,1566.9499375,240163,90,71.25,2.07,99.95,NA
2024-2025,July,15,KARNATAKA,1516,HASSAN,1922434,339.492607962044,28,337,1668.242860061,11336,2,28456,1613229,231485,68321,25787,6820,394.25215,7539.288214561,57568,103998,160769,397149,71,280561,648555,39792,5476.7932045,827302,76,51.58,23.76,99.95,NA
2024-2025,July,15,KARNATAKA,1525,TUMAKURU,1710977,344.918774176511,26,326,3857.203614065,28402,0,50441,1707856,241687,77756,148280,39962,418.27984,10166.199433965,64279,108334,207777,495964,98,397647,878975,78843,5890.7159799,882141,84,39.95,36.92,99.82,NA
2024-2025,July,15,KARNATAKA,1527,UTTARA KANNADA,788567,343.342425575732,26,93,628.070192997,5008,0,22694,793424,46696,14597,30493,7952,193.0934,3545.324799697,30488,50393,86755,217973,24,204092,451803,27702,2724.1612067,432993,78,30.57,31.55,99.97,NA
2024-2025,July,15,KARNATAKA,1518,KODAGU,231130,337.362802447005,29,63,147.144180042,2610,1,3935,204168,18731,7028,8961,3728,75.14455,911.075616542,6845,11343,27964,66968,6,87801,191372,6545,688.7868865,105291,79,51.51,18.95,99.95,NA
2024-2025,July,15,KARNATAKA,1519,KOLAR,1711500,342.070222496203,31,267,1244.415769718,8378,0,27871,1519981,395030,85148,94869,21868,257.73108,6701.54923831801,47759,73273,126185,317604,85,239331,578859,36249,5199.40238860001,814306,63,39.74,32.97,99.88,NA
2024-2025,July,15,KARNATAKA,1524,SHIVAMOGGA,1502661,323.544300393514,22,374,809.510660801,5559,0,17392,1351667,318469,83276,73890,18517,236.82995,5419.582149601,59063,98647,144530,370823,65,247842,569354,22951,4373.2415388,752977,76,31.07,52.98,99.97,NA
2024-2025,July,15,KARNATAKA,1525,TUMAKURU,1710977,343.171851290318,25,319,3857.203614065,27647,0,50428,1596157,225774,77613,138992,39893,418.27984,9753.044980465,61845,104089,207451,495177,84,397516,878647,78075,5477.5615264,824528,84,39.83,36.96,99.77,NA
2024-2025,July,15,KARNATAKA,1527,UTTARA KANNADA,788567,342.474168791115,25,92,628.070192997,4783,0,22769,777849,46020,14590,30028,7952,193.0934,3485.095490197,30088,49704,86663,217737,23,204080,451763,27552,2663.9318972,424528,78,30.55,32.18,99.96,NA
2024-2025,July,15,KARNATAKA,1523,RAICHUR,6835843,267.143771412047,35,982,2039.07331292,13339,0,34566,7612186,1346800,123822,1821743,152851,447.46327,22822.0173502199,217104,426326,280046,652151,199,370120,831710,47905,20335.4807672999,4000954,54,19.48,70.1,99.86,NA
2024-2025,July,15,KARNATAKA,1531,VIJAYANAGARA,4634435,303.485250466733,40,1190,1984.813508581,13099,0,19152,5037236,1217496,114806,1162790,93526,80.77156,17352.8533597814,124723,238112,173444,459160,1003,249911,645913,32251,15287.2682912004,2629754,52,10.83,70.83,99.93,NA
2024-2025,May,15,KARNATAKA,1526,UDUPI,273924,322.760524511273,18,20,161.637157997,1697,1,14467,113458,4733,5866,3992,5971,27.07826,554.913053897,6022,9731,43283,103263,1,122743,249241,16164,366.1976359,73387,89,72.2,5.88,99.81,NA
